pid,dim,adcon,tv,rating,age,agecat,dprime
6707093,cruise,addressable,choice,3.25,34,18_34,0.307239651
6707093,dog,non-address,choice,0,34,18_34,0.307239651
6707093,games,non-address,choice,2.25,34,18_34,0
6707149,car,non-address,choice,-2.5,25,18_34,0.589455798
6707149,cruise,non-address,choice,-3.75,25,18_34,0.871671945
6707149,dog,addressable,choice,0.25,25,18_34,1.556877364
6707149,games,addressable,choice,0.75,25,18_34,1.875434965
6707311,car,non-address,random,1.5,35,35.54,1.556877364
6707311,cruise,addressable,random,1.5,35,35.54,1.249637713
6707311,dog,non-address,random,-0.5,35,35.54,0.871671945
6707311,games,addressable,random,1,35,35.54,0.967421566
6707942,car,non-address,random,0,43,35.54,0
6707942,cruise,addressable,random,1.25,43,35.54,0.589455798
6707942,dog,non-address,random,2.75,43,35.54,0.871671945
6707942,games,addressable,random,-0.75,43,35.54,0.564432294
6709848,car,addressable,choice,7.5,29,18_34,2.560640384
6709848,cruise,non-address,choice,8.75,29,18_34,2.182674616
6709848,dog,non-address,choice,10,29,18_34,1.311002671
6709848,games,addressable,choice,10,29,18_34,2.560640384
6709853,car,non-address,random,0,25,18_34,0
6709853,cruise,non-address,random,1.75,25,18_34,0.685205419
6709853,dog,addressable,random,0.25,25,18_34,-0.282216147
6709853,games,addressable,random,2.25,25,18_34,0.564432294
6710744,car,addressable,choice,4.5,53,35.54,1.249637713
6710744,cruise,non-address,choice,7.5,53,35.54,0.871671945
6710744,dog,non-address,choice,-2.25,53,35.54,1.934843132
6710744,games,addressable,choice,9,53,35.54,2.560640384
6710829,car,non-address,choice,-2.5,21,18_34,0.307239651
6710829,cruise,addressable,choice,0,21,18_34,0.282216147
6710829,dog,non-address,choice,-4.75,21,18_34,1.593218818
6710829,games,addressable,choice,3.25,21,18_34,2.182674616
6710941,car,non-address,random,-0.75,33,18_34,0.282216147
6710941,cruise,non-address,random,-0.25,33,18_34,0.307239651
6710941,dog,addressable,random,1,33,18_34,1.593218818
6710941,games,addressable,random,0.5,33,18_34,1.00376302
6710953,car,non-address,choice,0,52,35.54,-1.311002671
6710953,cruise,addressable,choice,3.25,52,35.54,0.282216147
6710953,dog,addressable,choice,0,52,35.54,0.282216147
6710953,games,non-address,choice,0,52,35.54,0.685205419
6711015,car,addressable,random,-2.25,38,35.54,-0.307239651
6711015,cruise,non-address,random,-0.5,38,35.54,0
6711015,dog,non-address,random,3,38,35.54,0.685205419
6711015,games,addressable,random,5.25,38,35.54,0.685205419
6711173,car,addressable,choice,-0.5,38,35.54,1.556877364
6711173,cruise,non-address,choice,1,38,35.54,1.593218818
6711173,dog,non-address,choice,0.5,38,35.54,1.593218818
6711173,games,addressable,choice,-1.75,38,35.54,0
6711359,car,addressable,choice,1.25,36,35.54,0.871671945
6711359,cruise,non-address,choice,1.75,36,35.54,0
6711359,dog,non-address,choice,3.75,36,35.54,0.685205419
6711359,games,addressable,choice,4.75,36,35.54,1.00376302
6711492,car,addressable,choice,2.5,26,18_34,1.311002671
6711492,cruise,addressable,choice,3.5,26,18_34,0.967421566
6711492,dog,non-address,choice,0.25,26,18_34,-0.377965768
6711492,games,non-address,choice,4,26,18_34,0.685205419
6711752,car,addressable,choice,2.5,38,35.54,0.589455798
6711752,cruise,non-address,choice,0.25,38,35.54,0
6711752,dog,non-address,choice,0.25,38,35.54,0.871671945
6711752,games,addressable,choice,2,38,35.54,0.871671945
6711804,car,non-address,random,0,28,18_34,0
6711804,cruise,non-address,random,0,28,18_34,0
6711804,dog,addressable,random,0,28,18_34,0
6711804,games,addressable,random,0.75,28,18_34,0.871671945
6711841,car,addressable,choice,-2.75,39,35.54,0
6711841,cruise,non-address,choice,-2.25,39,35.54,0.564432294
6711841,dog,non-address,choice,-1.25,39,35.54,1.593218818
6711841,games,addressable,choice,-4,39,35.54,0.685205419
6712104,car,non-address,choice,0.75,35,35.54,0.564432294
6712104,cruise,addressable,choice,-3.75,35,35.54,0.282216147
6712104,dog,addressable,choice,-8.25,35,35.54,0.564432294
6712104,games,non-address,choice,-4,35,35.54,0.564432294
6712191,car,non-address,choice,2.25,37,35.54,0.377965768
